"Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for canceling by Customer,Canceled Rides by Driver,Reason for canceling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating"
"2025-01-10,07:12,CNR734420745,Success,CUST263326,Mini,Scheme No. 74,Bhanwarkuan,5.0,12.0,False,,False,,False,,410,17.07,4.0,4.9"
"2025-01-07,18:49,CNR896634843,Canceled by Driver,CUST958713,Prime Plus,Pipliyahana,South Tukoganj,,,False,,True,Customer was coughing/sick,False,,158,11.66,,"
"2025-01-19,23:32,CNR166043013,Success,CUST192957,Auto,Scheme No. 78,Scheme No. 54,14.0,10.0,False,,False,,False,,1003,14.34,4.9,5.0"
"2025-01-01,20:21,CNR773329524,Success,CUST508059,Bike,Super Corridor,Mhow Naka,9.0,7.0,False,,False,,False,,998,2.28,3.6,4.1"
"2025-01-24,19:25,CNR747808727,Success,CUST322980,Bike,Chhoti Gwaltoli,Banganga,7.0,19.0,False,,False,,False,,198,5.74,4.8,3.7"
"2025-01-27,15:31,CNR623347007,Success,CUST966786,Bike,Chhoti Gwaltoli,Aerodrome Road,7.0,5.0,False,,False,,False,,208,18.28,4.5,3.4"
"2025-01-03,21:28,CNR841268762,Canceled by Driver,CUST936702,Bike,Geeta Bhawan,Rajendra Nagar,,,False,,True,Customer was coughing/sick,False,,132,5.97,,"
"2025-01-02,08:34,CNR363590615,Success,CUST234703,Mini,MR 3,MR 10,14.0,13.0,False,,False,,False,,839,15.76,3.7,3.3"
"2025-01-06,22:53,CNR308334052,Success,CUST734843,Prime Sedan,Scheme No. 73,Malharganj,16.0,10.0,False,,False,,False,,575,5.27,4.5,3.1"
"2025-01-30,22:57,CNR306874734,Success,CUST325661,Prime Sedan,Silicon City,Vijay Nagar,8.0,20.0,False,,False,,False,,481,7.42,3.9,3.4"
"2025-01-22,04:43,CNR441238127,Canceled by Driver,CUST379386,Auto,Saket Nagar,Rajendra Nagar,,,False,,True,Customer related issue,False,,350,19.36,,"
"2025-01-24,23:01,CNR797194996,Success,CUST684032,Prime Sedan,Saket Nagar,Malharganj,14.0,13.0,False,,False,,False,,882,7.95,4.9,4.6"
"2025-01-11,01:22,CNR361250233,Success,CUST215001,Prime SUV,Chhoti Gwaltoli,Ring Road,6.0,20.0,False,,False,,False,,724,9.94,4.6,4.8"
"2025-01-16,09:28,CNR539824929,Success,CUST952254,Prime Plus,RNT Marg,Scheme No. 114,19.0,5.0,False,,False,,False,,882,13.47,3.7,3.2"
"2025-01-03,19:28,CNR966869752,Incomplete,CUST572615,Prime Plus,Mhow Naka,Sudama Nagar,,,False,,False,,True,Customer Demand,312,10.05,,"
"2025-01-22,04:45,CNR358824718,Canceled by Driver,CUST945397,Prime Sedan,Scheme No. 140,Scheme No. 94,,,False,,True,Customer related issue,False,,373,4.61,,"
"2025-01-16,13:23,CNR951523514,Incomplete,CUST841585,Auto,Vijay Nagar,Mhow Naka,,,False,,False,,True,Vehicle Breakdown,665,16.98,,"
"2025-01-08,06:50,CNR829918804,Success,CUST784836,Prime SUV,Bhanwarkuan,Silicon City,20.0,7.0,False,,False,,False,,464,8.42,4.2,3.6"
"2025-01-22,13:01,CNR190195725,Success,CUST851756,Prime SUV,MR 10,Scheme No. 140,8.0,19.0,False,,False,,False,,345,19.2,4.1,4.0"
"2025-01-17,00:51,CNR782212433,Success,CUST478420,eBike,Saket Nagar,Bada Gwaltoli,14.0,16.0,False,,False,,False,,356,6.11,3.7,3.9"
"2025-01-31,12:15,CNR374615670,Incomplete,CUST607905,Auto,Geeta Bhawan,Bhanwarkuan,,,False,,False,,True,Other Issue,933,7.31,,"
"2025-01-02,01:06,CNR764230807,Canceled by Driver,CUST185845,Auto,Nanda Nagar,Scheme No. 74,,,False,,True,More than permitted people in there,False,,467,10.79,,"
"2025-01-26,19:34,CNR762529166,Canceled by Driver,CUST331500,Prime Plus,Super Corridor,Scheme No. 78,,,False,,True,More than permitted people in there,False,,1425,4.08,,"
"2025-01-18,16:41,CNR572601811,Success,CUST660737,eBike,MR 3,Palasia,10.0,13.0,False,,False,,False,,1344,7.16,4.1,4.2"
"2025-01-16,10:56,CNR238869121,Success,CUST125830,Prime Plus,Palasia,MR 9,9.0,15.0,False,,False,,False,,553,14.62,3.8,4.9"
"2025-01-13,14:01,CNR195598441,Success,CUST977959,Bike,Khajrana,Super Corridor,8.0,16.0,False,,False,,False,,424,3.84,3.3,5.0"
"2025-01-16,10:08,CNR430360615,Success,CUST705824,Auto,Nanda Nagar,Aerodrome Road,13.0,14.0,False,,False,,False,,350,3.43,3.0,4.3"
"2025-01-20,20:16,CNR530070098,Success,CUST825991,Prime Plus,Hira Nagar,Patel Nagar,12.0,7.0,False,,False,,False,,599,2.06,4.1,4.9"
"2025-01-12,09:59,CNR149988294,Success,CUST934207,Mini,MG Road,Navlakha,6.0,7.0,False,,False,,False,,333,17.44,3.7,4.7"
"2025-01-05,23:38,CNR390781739,Success,CUST882380,Prime Sedan,MR 3,Vijay Nagar,20.0,15.0,False,,False,,False,,741,18.34,4.3,4.6"
"2025-01-21,13:01,CNR720719164,Incomplete,CUST289854,Prime Sedan,Scheme No. 94,Rajendra Nagar,,,False,,False,,True,Other Issue,1255,14.44,,"
"2025-01-02,08:01,CNR286448705,Success,CUST935913,Mini,Super Corridor,MG Road,6.0,14.0,False,,False,,False,,291,10.17,3.8,3.5"
"2025-01-20,00:26,CNR231169524,Incomplete,CUST867196,Mini,Bada Gwaltoli,Scheme No. 71,,,False,,False,,True,Customer Demand,180,15.22,,"
"2025-01-24,02:42,CNR669121662,Canceled by Customer,CUST778156,Mini,Silicon City,Saket Nagar,,,True,Driver asked to cancel,False,,False,,273,2.33,,"
"2025-01-22,23:33,CNR267708683,Success,CUST197121,eBike,Aerodrome Road,LIG Colony,15.0,8.0,False,,False,,False,,916,6.37,3.9,4.1"
"2025-01-27,10:18,CNR479951158,Success,CUST445477,Bike,Scheme No. 71,Rajendra Nagar,12.0,17.0,False,,False,,False,,247,15.79,3.2,3.3"
"2025-01-30,03:02,CNR599796078,Canceled by Driver,CUST730506,Bike,Scheme No. 94,Lokmanya Nagar,,,False,,True,Personal & Car related issue,False,,450,3.81,,"
"2025-01-10,13:17,CNR663066978,Canceled by Customer,CUST646852,eBike,MG Road,Geeta Bhawan,,,True,Wrong Address,False,,False,,470,6.97,,"
"2025-01-31,13:58,CNR366014618,Success,CUST447941,eBike,Ring Road,Scheme No. 71,5.0,6.0,False,,False,,False,,999,3.64,3.0,4.6"
"2025-01-23,12:06,CNR422762687,Canceled by Driver,CUST754941,Mini,AB Road,Juni Indore,,,False,,True,Customer related issue,False,,966,19.93,,"
"2025-01-23,20:04,CNR527178803,Success,CUST923105,Prime Sedan,Scheme No. 54,AB Road,10.0,10.0,False,,False,,False,,383,13.5,3.9,4.0"
"2025-01-21,17:23,CNR741283690,Success,CUST179276,Mini,Khajrana,MR 9,14.0,8.0,False,,False,,False,,328,2.6,3.0,4.0"
"2025-01-19,05:59,CNR925351699,Success,CUST403674,Prime Sedan,MR 3,Scheme No. 78,6.0,6.0,False,,False,,False,,214,3.78,3.0,3.4"
"2025-01-06,22:54,CNR378637437,Success,CUST935351,Prime Sedan,Scheme No. 140,Saket Nagar,5.0,12.0,False,,False,,False,,474,14.31,3.9,4.7"
"2025-01-02,05:24,CNR543299795,Success,CUST495928,Bike,Bada Gwaltoli,Scheme No. 54,8.0,8.0,False,,False,,False,,169,6.84,4.4,4.0"
"2025-01-24,14:56,CNR995779648,Success,CUST278753,Auto,MR 1,Tilak Nagar,17.0,12.0,False,,False,,False,,412,2.01,3.1,3.4"
"2025-01-13,21:06,CNR693477477,Canceled by Driver,CUST276552,Mini,Bhanwarkuan,Rajendra Nagar,,,False,,True,Personal & Car related issue,False,,977,19.59,,"
"2025-01-08,03:50,CNR746176400,Success,CUST369746,Prime Plus,LIG Colony,MR 4,11.0,12.0,False,,False,,False,,332,4.15,3.0,4.3"
"2025-01-10,08:01,CNR707294614,Success,CUST355972,Mini,Rajendra Nagar,MR 10,6.0,18.0,False,,False,,False,,478,2.57,3.7,3.4"
"2025-01-02,19:42,CNR199138733,Canceled by Driver,CUST530165,Mini,South Tukoganj,Hira Nagar,,,False,,True,Customer related issue,False,,237,18.56,,"
"2025-01-22,00:09,CNR479660385,Incomplete,CUST809327,Mini,Scheme No. 94,Lasudia Mori,,,False,,False,,True,Vehicle Breakdown,266,2.42,,"
"2025-01-26,06:40,CNR228280385,Canceled by Driver,CUST190826,Mini,Lasudia Mori,Lokmanya Nagar,,,False,,True,Customer related issue,False,,1417,5.59,,"
"2025-01-04,06:13,CNR595878483,Canceled by Driver,CUST784240,Auto,Lasudia Mori,Bhawarkua,,,False,,True,More than permitted people in there,False,,1093,15.5,,"
"2025-01-25,22:06,CNR790337633,Incomplete,CUST651113,Prime Sedan,Scheme No. 73,Nanda Nagar,,,False,,False,,True,Customer Demand,639,13.02,,"
"2025-01-01,17:27,CNR211880018,Success,CUST915233,Mini,Bhawarkua,Chhoti Gwaltoli,17.0,16.0,False,,False,,False,,665,8.52,4.4,4.1"
"2025-01-31,01:45,CNR329155870,Incomplete,CUST200636,Mini,MR 10,Mhow Naka,,,False,,False,,True,Vehicle Breakdown,106,5.57,,"
"2025-01-11,13:41,CNR753014109,Success,CUST894038,Auto,Hira Nagar,Scheme No. 78,16.0,17.0,False,,False,,False,,2346,4.7,4.6,3.7"
"2025-01-30,13:09,CNR622386662,Canceled by Driver,CUST395249,Bike,Sudama Nagar,MR 4,,,False,,True,More than permitted people in there,False,,362,11.17,,"
"2025-01-26,17:26,CNR331338118,Canceled by Driver,CUST384954,eBike,Khajrana,Bada Gwaltoli,,,False,,True,Customer was coughing/sick,False,,190,4.08,,"
"2025-01-13,04:57,CNR914192226,Success,CUST494254,Prime SUV,Sapna Sangeeta,Rau,17.0,20.0,False,,False,,False,,344,14.39,3.3,4.0"
"2025-01-17,19:22,CNR132261673,Incomplete,CUST436973,Prime Plus,Silicon City,Tilak Nagar,,,False,,False,,True,Customer Demand,338,10.93,,"
"2025-01-04,01:15,CNR248489583,Incomplete,CUST282542,Prime SUV,Rajendra Nagar,Chhoti Gwaltoli,,,False,,False,,True,Customer Demand,363,6.08,,"
"2025-01-10,02:42,CNR652208433,Canceled by Driver,CUST719178,Bike,Geeta Bhawan,Patel Nagar,,,False,,True,Customer was coughing/sick,False,,518,12.6,,"
"2025-01-28,08:18,CNR926057673,Success,CUST929174,Prime Sedan,Navlakha,Bhanwarkuan,10.0,9.0,False,,False,,False,,891,3.09,3.2,4.9"
"2025-01-25,14:54,CNR139432740,Canceled by Driver,CUST953813,eBike,Bhanwarkuan,Super Corridor,,,False,,True,Personal & Car related issue,False,,220,7.18,,"
"2025-01-30,23:22,CNR584516428,Success,CUST758712,Prime SUV,Scheme No. 72,Lokmanya Nagar,12.0,12.0,False,,False,,False,,346,3.45,3.3,3.1"
"2025-01-08,01:52,CNR642325723,Canceled by Customer,CUST317060,eBike,Scheme No. 71,Scheme No. 140,,,True,Wrong Address,False,,False,,410,16.64,,"
"2025-01-16,09:16,CNR588816960,Success,CUST958266,Auto,Banganga,Vijay Nagar,19.0,14.0,False,,False,,False,,146,9.01,3.7,4.8"
"2025-01-07,08:15,CNR407641058,Success,CUST664285,Prime Plus,Chhoti Gwaltoli,Scheme No. 54,8.0,18.0,False,,False,,False,,386,5.46,4.9,3.4"
"2025-01-25,02:40,CNR106662697,Canceled by Driver,CUST498901,Bike,Vijay Nagar,Scheme No. 78,,,False,,True,Customer related issue,False,,1204,3.25,,"
"2025-01-12,22:33,CNR668089331,Success,CUST190292,Prime Plus,LIG Colony,Ring Road,6.0,8.0,False,,False,,False,,1312,19.49,3.5,4.3"
"2025-01-19,09:28,CNR280028337,Canceled by Customer,CUST404169,Auto,MR 4,Scheme No. 94,,,True,AC is not working,False,,False,,450,4.89,,"
"2025-01-30,19:12,CNR146145888,Incomplete,CUST107418,Prime Sedan,Chhoti Gwaltoli,South Tukoganj,,,False,,False,,True,Customer Demand,449,18.55,,"
"2025-01-13,00:33,CNR759988672,Success,CUST393748,Prime Sedan,Scheme No. 94,RNT Marg,6.0,5.0,False,,False,,False,,674,9.57,4.3,3.8"
"2025-01-19,10:03,CNR715210867,Success,CUST674666,Prime Sedan,Bada Gwaltoli,MR 10,15.0,20.0,False,,False,,False,,511,9.99,3.2,4.7"
"2025-01-13,14:02,CNR209567035,Canceled by Customer,CUST479615,Prime Sedan,MR 4,Lasudia Mori,,,True,Driver asked to cancel,False,,False,,357,8.37,,"
"2025-01-12,05:37,CNR772455686,Success,CUST788212,Auto,Scheme No. 74,Scheme No. 71,11.0,5.0,False,,False,,False,,723,16.98,4.3,3.7"
"2025-01-14,06:01,CNR739122208,Success,CUST284036,Prime Sedan,MR 1,Bhanwarkuan,13.0,8.0,False,,False,,False,,699,11.43,4.2,4.1"
"2025-01-06,10:45,CNR401315967,Success,CUST536153,Mini,MR 9,Malharganj,8.0,10.0,False,,False,,False,,373,4.76,4.4,3.4"
"2025-01-19,23:55,CNR507108575,Success,CUST917823,Mini,Sudama Nagar,Scheme No. 71,17.0,5.0,False,,False,,False,,646,13.35,5.0,3.8"
"2025-01-20,01:06,CNR490289861,Success,CUST571662,eBike,Pipliyahana,Sapna Sangeeta,6.0,18.0,False,,False,,False,,309,12.19,3.7,4.9"
"2025-01-16,13:29,CNR109108733,Success,CUST952555,Auto,Saket Nagar,Silicon City,19.0,10.0,False,,False,,False,,394,5.98,4.1,3.8"
"2025-01-08,09:21,CNR552172656,Canceled by Customer,CUST119118,Prime SUV,Rajendra Nagar,Saket Nagar,,,True,AC is not working,False,,False,,619,16.69,,"
"2025-01-08,14:48,CNR298350238,Canceled by Customer,CUST226315,Prime Sedan,MR 2,Silicon City,,,True,AC is not working,False,,False,,421,5.0,,"
"2025-01-28,08:44,CNR707539051,Canceled by Customer,CUST811746,Prime SUV,Scheme No. 78,Scheme No. 54,,,True,Wrong Address,False,,False,,212,16.15,,"
"2025-01-24,00:22,CNR994247266,Success,CUST386139,Mini,Scheme No. 114,Sudama Nagar,7.0,14.0,False,,False,,False,,707,11.86,3.1,3.7"
"2025-01-10,06:06,CNR344749542,Success,CUST649113,Auto,Scheme No. 114,MG Road,18.0,13.0,False,,False,,False,,689,14.38,4.4,4.3"
"2025-01-29,18:57,CNR963637376,Canceled by Driver,CUST179877,Mini,Silicon City,Pipliyahana,,,False,,True,More than permitted people in there,False,,389,17.9,,"
"2025-01-12,01:40,CNR684025508,Success,CUST204615,Prime Sedan,Scheme No. 114,Sapna Sangeeta,19.0,14.0,False,,False,,False,,283,15.87,3.4,3.7"
"2025-01-02,06:56,CNR365853104,Success,CUST980167,Prime SUV,Super Corridor,Scheme No. 74,7.0,9.0,False,,False,,False,,907,2.9,4.2,4.3"
"2025-01-22,18:22,CNR474267795,Success,CUST658734,Prime Sedan,Vijay Nagar,Super Corridor,10.0,18.0,False,,False,,False,,349,6.76,4.9,4.8"
"2025-01-15,09:46,CNR766544365,Success,CUST150919,Auto,MR 9,Juni Indore,5.0,13.0,False,,False,,False,,879,13.92,3.0,3.3"
"2025-01-10,04:22,CNR889113148,Success,CUST441040,Mini,Scheme No. 78,MG Road,19.0,16.0,False,,False,,False,,202,18.87,3.6,3.1"
"2025-01-17,02:50,CNR947629808,Success,CUST551175,Bike,Lokmanya Nagar,Hira Nagar,17.0,17.0,False,,False,,False,,439,8.7,4.4,4.2"
"2025-01-27,10:47,CNR145423016,Canceled by Driver,CUST806787,Prime Sedan,Khajrana,LIG Colony,,,False,,True,Customer was coughing/sick,False,,432,10.68,,"
"2025-01-31,20:15,CNR386232545,Success,CUST210858,Bike,MR 3,RNT Marg,13.0,18.0,False,,False,,False,,641,10.72,3.4,4.9"
"2025-01-11,03:20,CNR183256542,Success,CUST745489,Prime Sedan,Geeta Bhawan,Hira Nagar,8.0,19.0,False,,False,,False,,1323,12.69,3.3,4.8"
"2025-01-25,05:23,CNR913847526,Incomplete,CUST177592,Bike,Annapurna,Hira Nagar,,,False,,False,,True,Other Issue,241,18.8,,"
"2025-01-01,02:48,CNR317019895,Incomplete,CUST738474,eBike,Rau,Scheme No. 78,,,False,,False,,True,Vehicle Breakdown,230,2.05,,"
"2025-01-24,15:15,CNR848177629,Success,CUST655905,Auto,Banganga,Bada Gwaltoli,7.0,8.0,False,,False,,False,,299,16.17,3.0,3.0"
"2025-01-01,19:24,CNR969138516,Incomplete,CUST631891,Prime SUV,MG Road,Patel Nagar,,,False,,False,,True,Vehicle Breakdown,389,13.89,,"
