source_dataset,date,time,vehicle_type,pickup_location,drop_location,distance_km,fare_amount,payment_method,status,driver_rating,customer_rating
indore_ola,2025-01-01,09:50,Prime Sedan,Scheme No. 54,Scheme No. 94,14.82,308,,Canceled by Driver,,
indore_ola,2025-01-04,22:14,Auto,Chhoti Gwaltoli,Bhawarkua,6.05,295,,Incomplete,,
indore_ola,2025-01-27,03:08,Prime Sedan,Scheme No. 73,Saket Nagar,5.83,471,,Success,3.8,4.8
indore_ola,2025-01-17,23:49,Prime Sedan,Scheme No. 73,LIG Colony,13.43,426,,Canceled by Customer,,
indore_ola,2025-01-22,00:38,Auto,Banganga,Scheme No. 54,8.36,563,,Success,3.2,4.9
indore_ola,2025-01-28,13:54,eBike,Scheme No. 140,Scheme No. 72,11.66,315,,Canceled by Driver,,
indore_ola,2025-01-05,04:13,Bike,Super Corridor,MR 4,7.35,1020,,Success,3.9,4.2
indore_ola,2025-01-17,10:47,Prime SUV,Pipliyahana,MR 2,16.19,380,,Success,4.6,4.5
indore_ola,2025-01-08,22:25,Mini,Bhanwarkuan,MR 10,5.9,411,,Canceled by Driver,,
indore_ola,2025-01-16,11:06,eBike,AB Road,Navlakha,5.19,677,,Canceled by Customer,,
indore_ola,2025-01-18,08:45,eBike,Sudama Nagar,Scheme No. 72,9.97,1150,,Incomplete,,
indore_ola,2025-01-24,17:19,eBike,RNT Marg,MG Road,17.49,826,,Incomplete,,
indore_ola,2025-01-31,13:36,Bike,AB Road,Rau,15.13,503,,Success,3.7,4.0
indore_ola,2025-01-02,13:28,eBike,Lasudia Mori,Scheme No. 73,6.08,172,,Success,4.9,4.6
indore_ola,2025-01-14,22:03,Prime SUV,Scheme No. 72,Nanda Nagar,10.46,662,,Success,3.3,4.7
indore_ola,2025-01-19,06:30,Bike,RNT Marg,MG Road,16.34,553,,Success,3.6,3.4
indore_ola,2025-01-23,12:03,Bike,Khajrana,Scheme No. 71,6.86,676,,Success,3.6,4.9
indore_ola,2025-01-01,07:11,Prime Sedan,MR 2,Scheme No. 71,18.5,195,,Success,5.0,3.7
indore_ola,2025-01-20,07:06,Auto,MR 3,Juni Indore,18.82,451,,Success,4.4,4.6
indore_ola,2025-01-25,06:05,Prime Sedan,Banganga,Lokmanya Nagar,19.8,439,,Canceled by Driver,,
indore_ola,2025-01-10,07:12,Mini,Scheme No. 74,Bhanwarkuan,17.07,410,,Success,4.0,4.9
indore_ola,2025-01-07,18:49,Prime Plus,Pipliyahana,South Tukoganj,11.66,158,,Canceled by Driver,,
indore_ola,2025-01-19,23:32,Auto,Scheme No. 78,Scheme No. 54,14.34,1003,,Success,4.9,5.0
indore_ola,2025-01-01,20:21,Bike,Super Corridor,Mhow Naka,2.28,998,,Success,3.6,4.1
indore_ola,2025-01-24,19:25,Bike,Chhoti Gwaltoli,Banganga,5.74,198,,Success,4.8,3.7
indore_ola,2025-01-27,15:31,Bike,Chhoti Gwaltoli,Aerodrome Road,18.28,208,,Success,4.5,3.4
indore_ola,2025-01-03,21:28,Bike,Geeta Bhawan,Rajendra Nagar,5.97,132,,Canceled by Driver,,
indore_ola,2025-01-02,08:34,Mini,MR 3,MR 10,15.76,839,,Success,3.7,3.3
indore_ola,2025-01-06,22:53,Prime Sedan,Scheme No. 73,Malharganj,5.27,575,,Success,4.5,3.1
indore_ola,2025-01-30,22:57,Prime Sedan,Silicon City,Vijay Nagar,7.42,481,,Success,3.9,3.4
indore_ola,2025-01-22,04:43,Auto,Saket Nagar,Rajendra Nagar,19.36,350,,Canceled by Driver,,
indore_ola,2025-01-24,23:01,Prime Sedan,Saket Nagar,Malharganj,7.95,882,,Success,4.9,4.6
indore_ola,2025-01-11,01:22,Prime SUV,Chhoti Gwaltoli,Ring Road,9.94,724,,Success,4.6,4.8
indore_ola,2025-01-16,09:28,Prime Plus,RNT Marg,Scheme No. 114,13.47,882,,Success,3.7,3.2
indore_ola,2025-01-03,19:28,Prime Plus,Mhow Naka,Sudama Nagar,10.05,312,,Incomplete,,
indore_ola,2025-01-22,04:45,Prime Sedan,Scheme No. 140,Scheme No. 94,4.61,373,,Canceled by Driver,,
indore_ola,2025-01-16,13:23,Auto,Vijay Nagar,Mhow Naka,16.98,665,,Incomplete,,
indore_ola,2025-01-08,06:50,Prime SUV,Bhanwarkuan,Silicon City,8.42,464,,Success,4.2,3.6
indore_ola,2025-01-22,13:01,Prime SUV,MR 10,Scheme No. 140,19.2,345,,Success,4.1,4.0
indore_ola,2025-01-17,00:51,eBike,Saket Nagar,Bada Gwaltoli,6.11,356,,Success,3.7,3.9
indore_ola,2025-01-31,12:15,Auto,Geeta Bhawan,Bhanwarkuan,7.31,933,,Incomplete,,
indore_ola,2025-01-02,01:06,Auto,Nanda Nagar,Scheme No. 74,10.79,467,,Canceled by Driver,,
indore_ola,2025-01-26,19:34,Prime Plus,Super Corridor,Scheme No. 78,4.08,1425,,Canceled by Driver,,
indore_ola,2025-01-18,16:41,eBike,MR 3,Palasia,7.16,1344,,Success,4.1,4.2
indore_ola,2025-01-16,10:56,Prime Plus,Palasia,MR 9,14.62,553,,Success,3.8,4.9
indore_ola,2025-01-13,14:01,Bike,Khajrana,Super Corridor,3.84,424,,Success,3.3,5.0
indore_ola,2025-01-16,10:08,Auto,Nanda Nagar,Aerodrome Road,3.43,350,,Success,3.0,4.3
indore_ola,2025-01-20,20:16,Prime Plus,Hira Nagar,Patel Nagar,2.06,599,,Success,4.1,4.9
indore_ola,2025-01-12,09:59,Mini,MG Road,Navlakha,17.44,333,,Success,3.7,4.7
indore_ola,2025-01-05,23:38,Prime Sedan,MR 3,Vijay Nagar,18.34,741,,Success,4.3,4.6
indore_ola,2025-01-21,13:01,Prime Sedan,Scheme No. 94,Rajendra Nagar,14.44,1255,,Incomplete,,
indore_ola,2025-01-02,08:01,Mini,Super Corridor,MG Road,10.17,291,,Success,3.8,3.5
indore_ola,2025-01-20,00:26,Mini,Bada Gwaltoli,Scheme No. 71,15.22,180,,Incomplete,,
indore_ola,2025-01-24,02:42,Mini,Silicon City,Saket Nagar,2.33,273,,Canceled by Customer,,
indore_ola,2025-01-22,23:33,eBike,Aerodrome Road,LIG Colony,6.37,916,,Success,3.9,4.1
indore_ola,2025-01-27,10:18,Bike,Scheme No. 71,Rajendra Nagar,15.79,247,,Success,3.2,3.3
indore_ola,2025-01-30,03:02,Bike,Scheme No. 94,Lokmanya Nagar,3.81,450,,Canceled by Driver,,
indore_ola,2025-01-10,13:17,eBike,MG Road,Geeta Bhawan,6.97,470,,Canceled by Customer,,
indore_ola,2025-01-31,13:58,eBike,Ring Road,Scheme No. 71,3.64,999,,Success,3.0,4.6
indore_ola,2025-01-23,12:06,Mini,AB Road,Juni Indore,19.93,966,,Canceled by Driver,,
indore_ola,2025-01-23,20:04,Prime Sedan,Scheme No. 54,AB Road,13.5,383,,Success,3.9,4.0
indore_ola,2025-01-21,17:23,Mini,Khajrana,MR 9,2.6,328,,Success,3.0,4.0
indore_ola,2025-01-19,05:59,Prime Sedan,MR 3,Scheme No. 78,3.78,214,,Success,3.0,3.4
indore_ola,2025-01-06,22:54,Prime Sedan,Scheme No. 140,Saket Nagar,14.31,474,,Success,3.9,4.7
indore_ola,2025-01-02,05:24,Bike,Bada Gwaltoli,Scheme No. 54,6.84,169,,Success,4.4,4.0
indore_ola,2025-01-24,14:56,Auto,MR 1,Tilak Nagar,2.01,412,,Success,3.1,3.4
indore_ola,2025-01-13,21:06,Mini,Bhanwarkuan,Rajendra Nagar,19.59,977,,Canceled by Driver,,
indore_ola,2025-01-08,03:50,Prime Plus,LIG Colony,MR 4,4.15,332,,Success,3.0,4.3
indore_ola,2025-01-10,08:01,Mini,Rajendra Nagar,MR 10,2.57,478,,Success,3.7,3.4
indore_ola,2025-01-02,19:42,Mini,South Tukoganj,Hira Nagar,18.56,237,,Canceled by Driver,,
indore_ola,2025-01-22,00:09,Mini,Scheme No. 94,Lasudia Mori,2.42,266,,Incomplete,,
indore_ola,2025-01-26,06:40,Mini,Lasudia Mori,Lokmanya Nagar,5.59,1417,,Canceled by Driver,,
indore_ola,2025-01-04,06:13,Auto,Lasudia Mori,Bhawarkua,15.5,1093,,Canceled by Driver,,
indore_ola,2025-01-25,22:06,Prime Sedan,Scheme No. 73,Nanda Nagar,13.02,639,,Incomplete,,
indore_ola,2025-01-01,17:27,Mini,Bhawarkua,Chhoti Gwaltoli,8.52,665,,Success,4.4,4.1
indore_ola,2025-01-31,01:45,Mini,MR 10,Mhow Naka,5.57,106,,Incomplete,,
indore_ola,2025-01-11,13:41,Auto,Hira Nagar,Scheme No. 78,4.7,2346,,Success,4.6,3.7
indore_ola,2025-01-30,13:09,Bike,Sudama Nagar,MR 4,11.17,362,,Canceled by Driver,,
indore_ola,2025-01-26,17:26,eBike,Khajrana,Bada Gwaltoli,4.08,190,,Canceled by Driver,,
indore_ola,2025-01-13,04:57,Prime SUV,Sapna Sangeeta,Rau,14.39,344,,Success,3.3,4.0
indore_ola,2025-01-17,19:22,Prime Plus,Silicon City,Tilak Nagar,10.93,338,,Incomplete,,
indore_ola,2025-01-04,01:15,Prime SUV,Rajendra Nagar,Chhoti Gwaltoli,6.08,363,,Incomplete,,
indore_ola,2025-01-10,02:42,Bike,Geeta Bhawan,Patel Nagar,12.6,518,,Canceled by Driver,,
indore_ola,2025-01-28,08:18,Prime Sedan,Navlakha,Bhanwarkuan,3.09,891,,Success,3.2,4.9
indore_ola,2025-01-25,14:54,eBike,Bhanwarkuan,Super Corridor,7.18,220,,Canceled by Driver,,
indore_ola,2025-01-30,23:22,Prime SUV,Scheme No. 72,Lokmanya Nagar,3.45,346,,Success,3.3,3.1
indore_ola,2025-01-08,01:52,eBike,Scheme No. 71,Scheme No. 140,16.64,410,,Canceled by Customer,,
indore_ola,2025-01-16,09:16,Auto,Banganga,Vijay Nagar,9.01,146,,Success,3.7,4.8
indore_ola,2025-01-07,08:15,Prime Plus,Chhoti Gwaltoli,Scheme No. 54,5.46,386,,Success,4.9,3.4
indore_ola,2025-01-25,02:40,Bike,Vijay Nagar,Scheme No. 78,3.25,1204,,Canceled by Driver,,
indore_ola,2025-01-12,22:33,Prime Plus,LIG Colony,Ring Road,19.49,1312,,Success,3.5,4.3
indore_ola,2025-01-19,09:28,Auto,MR 4,Scheme No. 94,4.89,450,,Canceled by Customer,,
indore_ola,2025-01-30,19:12,Prime Sedan,Chhoti Gwaltoli,South Tukoganj,18.55,449,,Incomplete,,
indore_ola,2025-01-13,00:33,Prime Sedan,Scheme No. 94,RNT Marg,9.57,674,,Success,4.3,3.8
indore_ola,2025-01-19,10:03,Prime Sedan,Bada Gwaltoli,MR 10,9.99,511,,Success,3.2,4.7
indore_ola,2025-01-13,14:02,Prime Sedan,MR 4,Lasudia Mori,8.37,357,,Canceled by Customer,,
indore_ola,2025-01-12,05:37,Auto,Scheme No. 74,Scheme No. 71,16.98,723,,Success,4.3,3.7
indore_ola,2025-01-14,06:01,Prime Sedan,MR 1,Bhanwarkuan,11.43,699,,Success,4.2,4.1
indore_ola,2025-01-06,10:45,Mini,MR 9,Malharganj,4.76,373,,Success,4.4,3.4
indore_ola,2025-01-19,23:55,Mini,Sudama Nagar,Scheme No. 71,13.35,646,,Success,5.0,3.8
indore_ola,2025-01-20,01:06,eBike,Pipliyahana,Sapna Sangeeta,12.19,309,,Success,3.7,4.9
indore_ola,2025-01-16,13:29,Auto,Saket Nagar,Silicon City,5.98,394,,Success,4.1,3.8
indore_ola,2025-01-08,09:21,Prime SUV,Rajendra Nagar,Saket Nagar,16.69,619,,Canceled by Customer,,
indore_ola,2025-01-08,14:48,Prime Sedan,MR 2,Silicon City,5.0,421,,Canceled by Customer,,
indore_ola,2025-01-28,08:44,Prime SUV,Scheme No. 78,Scheme No. 54,16.15,212,,Canceled by Customer,,
indore_ola,2025-01-24,00:22,Mini,Scheme No. 114,Sudama Nagar,11.86,707,,Success,3.1,3.7
indore_ola,2025-01-10,06:06,Auto,Scheme No. 114,MG Road,14.38,689,,Success,4.4,4.3
indore_ola,2025-01-29,18:57,Mini,Silicon City,Pipliyahana,17.9,389,,Canceled by Driver,,
indore_ola,2025-01-12,01:40,Prime Sedan,Scheme No. 114,Sapna Sangeeta,15.87,283,,Success,3.4,3.7
indore_ola,2025-01-02,06:56,Prime SUV,Super Corridor,Scheme No. 74,2.9,907,,Success,4.2,4.3
indore_ola,2025-01-22,18:22,Prime Sedan,Vijay Nagar,Super Corridor,6.76,349,,Success,4.9,4.8
indore_ola,2025-01-15,09:46,Auto,MR 9,Juni Indore,13.92,879,,Success,3.0,3.3
indore_ola,2025-01-10,04:22,Mini,Scheme No. 78,MG Road,18.87,202,,Success,3.6,3.1
indore_ola,2025-01-17,02:50,Bike,Lokmanya Nagar,Hira Nagar,8.7,439,,Success,4.4,4.2
indore_ola,2025-01-27,10:47,Prime Sedan,Khajrana,LIG Colony,10.68,432,,Canceled by Driver,,
indore_ola,2025-01-31,20:15,Bike,MR 3,RNT Marg,10.72,641,,Success,3.4,4.9
indore_ola,2025-01-11,03:20,Prime Sedan,Geeta Bhawan,Hira Nagar,12.69,1323,,Success,3.3,4.8
indore_ola,2025-01-25,05:23,Bike,Annapurna,Hira Nagar,18.8,241,,Incomplete,,
indore_ola,2025-01-01,02:48,eBike,Rau,Scheme No. 78,2.05,230,,Incomplete,,
indore_ola,2025-01-24,15:15,Auto,Banganga,Bada Gwaltoli,16.17,299,,Success,3.0,3.0
indore_ola,2025-01-01,19:24,Prime SUV,MG Road,Patel Nagar,13.89,389,,Incomplete,,
indore_ola,2025-01-25,03:52,Prime SUV,Sapna Sangeeta,Scheme No. 78,8.16,1308,,Canceled by Driver,,
indore_ola,2025-01-09,02:42,Prime Plus,Vijay Nagar,Geeta Bhawan,13.82,212,,Success,3.4,3.5
indore_ola,2025-01-30,04:55,eBike,Scheme No. 72,Scheme No. 73,17.26,282,,Success,3.8,3.1
indore_ola,2025-01-27,20:47,Bike,Rajendra Nagar,Annapurna,13.45,264,,Success,3.3,4.2
indore_ola,2025-01-11,11:43,Bike,Scheme No. 114,Juni Indore,11.51,186,,Canceled by Driver,,
indore_ola,2025-01-31,09:27,eBike,Nanda Nagar,MG Road,4.79,435,,Canceled by Driver,,
indore_ola,2025-01-08,17:57,Bike,Vijay Nagar,Malharganj,7.9,774,,Canceled by Customer,,
indore_ola,2025-01-18,21:09,Prime Plus,MR 2,Scheme No. 73,7.2,444,,Success,4.3,3.7
indore_ola,2025-01-28,14:53,Bike,Bada Gwaltoli,MR 1,12.48,320,,Success,4.0,4.8
indore_ola,2025-01-21,16:58,Prime Plus,Navlakha,Chhoti Gwaltoli,18.9,442,,Success,3.4,4.1
indore_ola,2025-01-05,00:45,Prime Plus,Saket Nagar,Tilak Nagar,2.26,526,,Success,4.6,3.7
indore_ola,2025-01-11,20:47,Mini,RNT Marg,Geeta Bhawan,2.16,1414,,Canceled by Driver,,
indore_ola,2025-01-29,10:38,Bike,MR 2,Aerodrome Road,8.23,498,,Success,3.1,4.6
indore_ola,2025-01-22,14:02,Prime Plus,Scheme No. 78,Lasudia Mori,18.43,286,,Success,3.1,4.5
indore_ola,2025-01-22,17:36,Prime SUV,MR 2,Juni Indore,6.03,489,,Canceled by Customer,,
indore_ola,2025-01-22,01:53,Prime Sedan,Nanda Nagar,Banganga,4.89,317,,Success,4.5,3.2
indore_ola,2025-01-16,20:44,Prime Plus,Sudama Nagar,Pipliyahana,5.91,585,,Success,4.0,3.2
indore_ola,2025-01-24,18:24,Bike,Scheme No. 114,Navlakha,15.15,477,,Canceled by Driver,,
indore_ola,2025-01-19,20:32,Mini,Malharganj,MR 1,15.63,684,,Canceled by Driver,,
indore_ola,2025-01-13,23:44,Mini,Scheme No. 74,Saket Nagar,17.8,358,,Success,4.6,3.4
indore_ola,2025-01-20,00:57,eBike,Ring Road,Palasia,3.98,477,,Canceled by Driver,,
indore_ola,2025-01-07,19:30,eBike,RNT Marg,Palasia,8.87,671,,Incomplete,,
indore_ola,2025-01-13,23:58,Prime SUV,Mhow Naka,MR 10,13.83,680,,Canceled by Driver,,
indore_ola,2025-01-20,11:04,Mini,LIG Colony,Scheme No. 94,3.81,306,,Success,3.8,3.2
indore_ola,2025-01-12,20:39,Prime Sedan,Bada Gwaltoli,Scheme No. 72,9.89,901,,Canceled by Driver,,
indore_ola,2025-01-08,00:52,eBike,LIG Colony,Scheme No. 94,18.38,471,,Canceled by Customer,,
indore_ola,2025-01-16,21:21,Prime Plus,MR 2,Scheme No. 140,13.09,1364,,Success,4.2,4.3
indore_ola,2025-01-14,11:09,Prime Sedan,Navlakha,Silicon City,4.54,359,,Success,3.7,3.9
indore_ola,2025-01-27,02:39,Auto,Scheme No. 94,Bhanwarkuan,9.68,844,,Canceled by Customer,,
indore_ola,2025-01-25,15:22,Mini,MG Road,Vijay Nagar,8.91,666,,Success,3.7,3.8
indore_ola,2025-01-29,11:59,eBike,Scheme No. 78,Sapna Sangeeta,12.8,392,,Canceled by Driver,,
indore_ola,2025-01-19,15:22,Mini,Chhoti Gwaltoli,LIG Colony,9.91,745,,Success,3.5,3.9
indore_ola,2025-01-23,14:49,eBike,Lokmanya Nagar,Vijay Nagar,17.06,271,,Canceled by Driver,,
indore_ola,2025-01-25,20:09,Prime Plus,Chhoti Gwaltoli,Mhow Naka,4.61,292,,Success,3.2,3.5
indore_ola,2025-01-07,19:11,Prime Plus,Mhow Naka,LIG Colony,4.8,466,,Success,3.3,3.3
indore_ola,2025-01-14,02:24,Mini,Sudama Nagar,Malharganj,4.7,992,,Success,3.5,3.5
indore_ola,2025-01-01,16:53,Auto,Rau,LIG Colony,17.78,390,,Success,4.5,3.2
indore_ola,2025-01-20,20:18,eBike,Lasudia Mori,AB Road,2.27,240,,Canceled by Driver,,
indore_ola,2025-01-29,04:12,Auto,RNT Marg,South Tukoganj,14.43,199,,Success,3.4,3.6
indore_ola,2025-01-25,18:12,Mini,Rau,RNT Marg,19.42,355,,Success,4.8,4.9
indore_ola,2025-01-25,01:41,Mini,Ring Road,RNT Marg,10.42,252,,Canceled by Driver,,
indore_ola,2025-01-01,02:37,Mini,MR 10,MG Road,16.4,379,,Success,3.6,4.1
indore_ola,2025-01-23,00:26,Prime Sedan,Palasia,MR 9,2.23,410,,Success,3.2,3.1
indore_ola,2025-01-22,10:09,Auto,Bhanwarkuan,Palasia,14.97,494,,Success,4.5,3.2
indore_ola,2025-01-10,00:08,Bike,Patel Nagar,Silicon City,2.43,323,,Incomplete,,
indore_ola,2025-01-19,15:54,Prime SUV,MR 10,Lokmanya Nagar,13.11,471,,Canceled by Driver,,
indore_ola,2025-01-15,08:12,Bike,Scheme No. 78,Malharganj,17.55,269,,Success,3.6,4.0
indore_ola,2025-01-29,03:59,Mini,Scheme No. 73,MR 3,4.73,295,,Success,3.8,3.1
indore_ola,2025-01-23,00:58,Prime SUV,Tilak Nagar,MR 2,8.19,215,,Success,4.2,4.0
indore_ola,2025-01-21,22:19,Prime SUV,Aerodrome Road,MR 3,5.43,319,,Incomplete,,
indore_ola,2025-01-29,17:25,eBike,Juni Indore,Tilak Nagar,5.14,636,,Incomplete,,
indore_ola,2025-01-06,12:11,Prime Plus,Bhawarkua,Scheme No. 114,15.1,309,,Success,4.8,3.8
indore_ola,2025-01-22,08:43,Mini,Tilak Nagar,Rau,8.28,170,,Success,3.5,3.4
indore_ola,2025-01-02,12:54,eBike,Sapna Sangeeta,Scheme No. 71,9.58,201,,Incomplete,,
indore_ola,2025-01-27,09:42,Prime Plus,Saket Nagar,Sapna Sangeeta,4.63,134,,Incomplete,,
indore_ola,2025-01-01,12:15,Mini,Mhow Naka,Tilak Nagar,7.53,215,,Success,3.5,4.1
indore_ola,2025-01-29,01:06,Prime SUV,MR 3,Lokmanya Nagar,18.42,495,,Canceled by Driver,,
indore_ola,2025-01-14,06:06,Mini,Khajrana,Bhawarkua,3.85,335,,Success,3.5,3.1
indore_ola,2025-01-26,15:01,eBike,MR 4,Patel Nagar,11.5,460,,Success,3.3,4.9
indore_ola,2025-01-20,22:21,eBike,Malharganj,Mhow Naka,13.17,276,,Success,4.0,5.0
indore_ola,2025-01-22,19:45,Prime Sedan,Bhawarkua,AB Road,14.73,104,,Incomplete,,
indore_ola,2025-01-22,18:10,Bike,Malharganj,Bada Gwaltoli,6.55,279,,Canceled by Driver,,
indore_ola,2025-01-19,13:14,Prime Plus,Chhoti Gwaltoli,RNT Marg,15.88,709,,Success,3.6,3.2
indore_ola,2025-01-28,09:54,Prime Plus,Scheme No. 114,Scheme No. 78,2.2,288,,Success,4.1,4.5
indore_ola,2025-01-29,16:51,Prime Sedan,Bhawarkua,Malharganj,3.86,516,,Success,4.5,5.0
indore_ola,2025-01-03,14:02,eBike,Scheme No. 94,Sapna Sangeeta,8.76,307,,Canceled by Driver,,
indore_ola,2025-01-06,23:38,Prime Plus,Palasia,Vijay Nagar,5.99,464,,Success,3.6,4.8
indore_ola,2025-01-22,04:33,Prime Plus,Navlakha,LIG Colony,19.41,378,,Incomplete,,
indore_ola,2025-01-25,22:11,eBike,Palasia,MR 10,7.38,1341,,Success,4.1,4.0
indore_ola,2025-01-23,12:08,Bike,Patel Nagar,Scheme No. 114,18.33,360,,Incomplete,,
indore_ola,2025-01-26,19:02,Bike,Nanda Nagar,Scheme No. 72,10.42,369,,Success,4.8,3.4
indore_ola,2025-01-28,02:44,Bike,Bhanwarkuan,Vijay Nagar,8.4,842,,Success,4.3,4.5
indore_ola,2025-01-03,06:07,Prime SUV,Lasudia Mori,MR 2,4.19,429,,Success,3.2,3.2
indore_ola,2025-01-02,18:02,eBike,Nanda Nagar,MR 9,19.89,488,,Success,3.6,3.0
indore_ola,2025-01-14,23:14,Prime SUV,Scheme No. 114,Scheme No. 74,17.5,257,,Success,3.1,3.8
indore_ola,2025-01-01,03:17,Prime SUV,Lasudia Mori,Sapna Sangeeta,17.29,244,,Incomplete,,
indore_ola,2025-01-15,10:58,Mini,South Tukoganj,Bada Gwaltoli,14.98,906,,Success,3.9,3.1
indore_ola,2025-01-10,06:27,eBike,Scheme No. 140,Vijay Nagar,4.55,422,,Incomplete,,
indore_ola,2025-01-31,08:59,Mini,Saket Nagar,Mhow Naka,8.0,672,,Success,4.9,3.9
indore_ola,2025-01-31,04:51,Bike,MR 4,Hira Nagar,7.14,186,,Canceled by Driver,,
indore_ola,2025-01-05,00:29,Mini,Juni Indore,Rajendra Nagar,8.53,256,,Success,3.8,3.3
indore_ola,2025-01-13,16:50,Auto,MR 4,Bhawarkua,3.97,168,,Canceled by Driver,,
