source_dataset,vehicle_type,ac_type,distance_km,fare_amount,base_fare,base_km,per_km_rate
delhi_notification_2023,auto_rickshaw,na,6.5,85.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.6,86.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.7,87.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.8,88.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,6.9,89.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.0,90.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.1,91.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.2,92.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.3,93.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.4,94.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.5,96.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.6,97.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.7,98.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.8,99.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,7.9,100.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.0,101.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.1,102.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.2,103.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.3,104.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.4,105.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.5,107.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.6,108.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.7,109.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.8,110.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,8.9,111.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.0,112.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.1,113.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.2,114.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.3,115.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.4,116.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.5,118.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.6,119.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.7,120.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.8,121.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,9.9,122.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.0,123.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.1,124.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.2,125.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.3,126.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.4,127.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.5,129.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.6,130.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.7,131.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.8,132.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,10.9,133.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.0,134.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.1,135.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.2,136.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.3,137.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.4,138.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.5,140.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.6,141.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.7,142.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.8,143.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,11.9,144.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.0,145.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.1,146.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.2,147.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.3,148.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.4,149.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.5,151.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.6,152.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.7,153.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.8,154.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,12.9,155.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.0,156.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.1,157.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.2,158.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.3,159.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.4,160.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.5,162.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.6,163.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.7,164.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.8,165.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,13.9,166.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.0,167.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.1,168.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.2,169.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.3,170.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.4,171.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.5,173.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.6,174.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.7,175.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.8,176.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,14.9,177.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.0,178.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.1,179.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.2,180.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.3,181.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.4,182.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.5,184.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.6,185.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.7,186.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.8,187.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,15.9,188.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.0,189.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.1,190.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.2,191.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.3,192.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.4,193.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.5,195.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.6,196.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.7,197.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.8,198.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,16.9,199.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.0,200.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.1,201.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.2,202.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.3,203.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.4,204.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.5,206.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.6,207.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.7,208.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.8,209.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,17.9,210.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.0,211.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.1,212.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.2,213.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.3,214.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.4,215.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.5,217.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.6,218.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.7,219.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.8,220.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,18.9,221.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.0,222.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.1,223.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.2,224.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.3,225.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.4,226.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.5,228.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.6,229.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.7,230.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.8,231.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,19.9,232.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.0,233.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.1,234.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.2,235.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.3,236.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.4,237.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.5,239.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.6,240.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.7,241.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.8,242.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,20.9,243.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.0,244.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.1,245.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.2,246.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.3,247.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.4,248.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.5,250.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.6,251.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.7,252.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.8,253.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,21.9,254.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.0,255.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.1,256.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.2,257.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.3,258.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.4,259.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.5,261.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.6,262.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.7,263.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.8,264.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,22.9,265.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.0,266.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.1,267.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.2,268.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.3,269.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.4,270.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.5,272.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.6,273.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.7,274.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.8,275.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,23.9,276.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.0,277.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.1,278.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.2,279.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.3,280.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.4,281.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.5,283.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.6,284.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.7,285.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.8,286.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,24.9,287.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.0,288.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.1,289.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.2,290.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.3,291.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.4,292.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.5,294.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.6,295.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.7,296.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.8,297.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,25.9,298.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.0,299.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.1,300.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.2,301.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.3,302.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.4,303.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.5,305.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.6,306.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.7,307.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.8,308.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,26.9,309.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.0,310.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.1,311.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.2,312.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.3,313.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.4,314.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.5,316.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.6,317.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.7,318.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.8,319.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,27.9,320.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.0,321.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.1,322.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.2,323.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.3,324.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.4,325.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.5,327.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.6,328.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.7,329.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.8,330.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,28.9,331.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.0,332.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.1,333.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.2,334.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.3,335.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.4,336.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.5,338.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.6,339.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.7,340.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.8,341.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,29.9,342.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.0,343.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.1,344.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.2,345.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.3,346.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.4,347.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.5,349.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.6,350.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.7,351.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.8,352.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,30.9,353.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.0,354.5,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.1,355.6,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.2,356.7,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.3,357.8,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.4,358.9,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.5,360.0,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.6,361.1,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.7,362.2,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.8,363.3,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,31.9,364.4,30.0,1.5,11.0
delhi_notification_2023,auto_rickshaw,na,32.0,365.5,30.0,1.5,11.0
delhi_notification_2023,taxi,non_ac,0-1.0,40.0,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.1,41.7,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.2,43.4,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.3,45.1,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.4,46.8,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.5,48.5,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.6,50.2,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.7,51.9,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.8,53.6,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,1.9,55.3,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.0,57.0,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.1,58.7,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.2,60.4,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.3,62.1,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.4,63.8,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.5,65.5,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.6,67.2,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.7,68.9,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.8,70.6,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,2.9,72.3,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.0,74.0,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.1,75.7,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.2,77.4,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.3,79.1,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.4,80.8,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.5,82.5,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.6,84.2,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.7,85.9,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.8,87.6,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,3.9,89.3,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,4.0,91.0,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,4.1,92.7,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,4.2,94.4,40.0,1.0,17.0
delhi_notification_2023,taxi,non_ac,4.3,96.1,40.0,1.0,17.0
